latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
79.154,-118.192,37ec7694,86E7BC,66,39000,480,,B789,JA873A,1731280885,HND,MUC,NH217,NH,0,0,ANA217,ANA
80.571,-99.125,37ec562b,394A09,63,35000,453,,B77W,F-GSQJ,1731280885,HND,CDG,AF279,AF,0,0,AFR279,AFR
80.012,-79.217,37ec5b7f,86E800,85,39000,486,,B789,JA875A,1731280885,HND,FRA,NH203,NH,0,0,ANA203,ANA
78.995,-78.566,37ec657a,461F53,86,39984,480,,A359,OH-LWL,1731280887,NRT,HEL,AY74,AY,0,0,FIN74,FIN
79.054,-65.766,37ec418c,461F59,84,39000,481,,A359,OH-LWR,1731280885,HND,HEL,AY62,AY,0,0,FIN62,FIN
78.507,-52.411,37ed0a00,8004DE,41,31000,475,,B77W,VT-ALP,1731280887,YVR,DEL,AI186,AI,0,0,AIC186,AIC
82.459,178.057,37eccc55,151E40,60,33000,458,,B773,RA-73280,1731280893,SVO,DYR,SU6811,SU,0,0,SDM6811,SDM
71.285,-156.79,37ede251,AD0AE4,90,0,38,,C208,N94AW,1731280894,BRW,,,,1,-64,N94AW,WRF
74.507,-154.019,37ecbb63,86DA40,33,38975,478,,B788,JA839J,1731280895,HND,LHR,JL41,JL,0,-64,JAL41,JAL
69.055,-143.675,37ecd040,71C361,261,36000,465,,A359,HL8361,1731280894,JFK,ICN,OZ221,OZ,0,0,AAR221,AAR
71.86,-60.928,37ed17d3,39D2A9,240,38000,478,,A359,F-HUVJ,1731280894,CDG,LAX,AF28,AF,0,0,AFR028,AFR
70.089,-1.901,37ecefc0,507C59,84,38996,488,,B788,UK78706,1731280898,JFK,TAS,HY102,HY,0,0,UZB102,UZB
69.353,17.121,37ed86ab,47812B,85,5750,123,,EH10,0277,1731280890,LKL,,,,0,960,SAVER30,NOW
70.324,21.846,37edda2a,47808A,239,18000,249,,DH8A,LN-WIB,1731280898,HFT,TOS,WF919,WF,0,0,WIF919,WIF
69.653,29.36,37edd3a7,47809F,73,5100,219,,DH8C,LN-WFO,1731280897,LKL,KKN,WF998,WF,0,-1856,WIF21M,WIF
69.722,31.596,37ed919d,151E3C,323,30000,414,,B77W,RA-73276,1731280898,SVO,HAV,SU6849,SU,0,0,SDM6849,SDM
69.243,86.787,37ed458f,151E27,128,5200,213,,B738,RA-73255,1731280899,DME,NSK,Y7103,Y7,0,-1152,TYA103,TYA
65.208,-165.869,37edd6f0,A80522,353,8000,170,,C208,N616BA,1731280878,OME,SHH,8E892,8E,0,0,BRG892,BRG
64.511,-165.447,37ede222,A5137D,286,0,18,,BE20,N426SD,1731280893,OME,KKA,,,1,0,N426SD,
64.47,-165.18,37edbf04,A11D1F,293,2675,218,,B190,N171CJ,1731280895,,,8E701,8E,0,-1344,BRG701,BRG
61.982,-163.349,37edd73f,A38398,144,5000,170,,C208,N3252Y,1731280899,EMK,BET,,,0,0,N3252Y,
67.6,-162.634,37eddd60,A4B288,133,23450,393,,B734,N401YK,1731280900,RDB,ANC,NC1781,NC,0,3008,NAC1781,NAC
66.886,-162.548,37ede06e,AD3C2F,70,700,106,,C208,N952BA,1731280901,OTZ,WTK,8E682,8E,0,1024,BRG682,BRG
63.746,-160.952,37edd900,A7EED8,44,1800,149,,C208,N610BA,1731280900,WBB,,8E3440,8E,0,-320,BRG3440,BRG
61.967,-159.717,37edbcb6,A813F4,166,1500,120,,AS50,N62AR,1731280899,UNK,,,,0,0,N62AR,BRG
61.253,-156.946,37edc64a,A84AB1,270,38000,468,,B748,N633UP,1731280903,ANC,PVG,5X82,5X,0,0,UPS82,UPS
62.738,-150.565,37edbc78,A06738,141,5900,127,,C185,N125KT,1731280903,TKA,,,,0,-576,N125KT,
61.687,-150.458,37ed8ca0,AC2D16,184,10800,276,,DH8A,N884EA,1731280902,SCC,ANC,7H8131,7H,0,-1152,RVF8131,RVF
62.555,-150.45,37edda71,A057D2,324,5200,103,,C185,N121EE,1731280902,TKA,,,,0,256,N121EE,
61.43,-150.389,37edda33,A784D5,321,13900,304,,B738,N584AS,1731280901,ANC,OTZ,AS7025,AS,0,3264,ASA7025,ASA
61.312,-150.313,37edd39c,AB59A0,101,1700,118,,AS50,N830PA,1731280901,,,,,0,64,N830PA,
61.295,-150.126,37eddbf5,A7F286,7,5525,232,,B737,N611AS,1731280903,ANC,SEA,AS226,AS,0,1856,ASA226,ASA
61.967,-150.083,37edd948,A85353,347,1900,80,,C150,N63547,1731280878,,,,,0,0,N63547,
61.528,-150.037,37edb7fe,A2221B,354,1500,60,,C170,N2367D,1731280903,MRI,,,,0,-128,N2367D,
61.526,-150.035,37edd646,A51168,358,1500,58,,PA12,N4256M,1731280891,MRI,,,,0,0,N4256M,
61.262,-150.001,37eddd25,AB82F9,168,2200,111,,C172,N84050,1731280903,,,,,0,-320,N84050,
61.527,-149.977,37edd947,A6BF2D,3,2300,92,,C172,N5339H,1731280902,MRI,,,,0,64,N5339H,
61.574,-149.92,37edc67b,A957B0,74,3525,84,,C172,N70052,1731280903,PAQ,,,,0,0,N70052,
62.05,-149.85,37edb6c6,A6809F,347,1400,90,,C150,N518RA,1731280899,MRI,,,,0,0,N518RA,
61.436,-149.836,37eda224,A4EE10,179,1800,106,,C150,N4169U,1731280903,,,,,0,-1088,N4169U,
